conservation_practice,concern,value
Wetland Wildlife Habitat Management ,Seeps,0
Shallow Water Development and Management ,Seeps,0
Restoration of Rare and Declining Habitats,Seeps,0
Fence ,Drifted Snow,0
Streambank and Shoreline Protection ,Drifted Snow,0
Heavy Use Area Protection ,Drifted Snow,0
Livestock Pipeline ,Drifted Snow,0
Prescribed Grazing (IRA),Drifted Snow,0
Cover Crop (IRA),Drifted Snow,1
Tree/Shrub Establishment (IRA),Drifted Snow,1
Brush Management ,Drifted Snow,0
Dike and Levee ,Drifted Snow,0
Herbaceous Weed Treatment ,Drifted Snow,0
Residue and Tillage Mgmt (No Till) (IRA),Drifted Snow,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Drifted Snow,0
Conservation Crop Rotation (IRA),Drifted Snow,0
Wildlife Habitat Planting (IRA),Drifted Snow,0
Pasture and Hay Planting ,Drifted Snow,0
Critical Area Planting (IRA),Drifted Snow,1
Range planting (IRA),Drifted Snow,1
Channel Bed Stabilization ,Drifted Snow,0
Conservation Cover (IRA),Drifted Snow,1
Access Control ,Drifted Snow,0
Wetland Restoration (IRA),Drifted Snow,0
Watering Facility ,Drifted Snow,0
Riparian Forest Buffer (IRA),Drifted Snow,0
Nutrient Management (IRA),Drifted Snow,0
Pest Management Conservation System ,Drifted Snow,0
Structures for Wildlife ,Drifted Snow,0
Stream Crossing ,Drifted Snow,0
Structure for Water Control ,Drifted Snow,0
Stream Habitat Improvement and Management ,Drifted Snow,0
Grade Stabilization Structure ,Drifted Snow,0
Riparian Herbaceous Cover (IRA),Drifted Snow,0
Aquatic Organism Passage ,Drifted Snow,0
Wetland Creation ,Drifted Snow,0
Wetland Enhancement ,Drifted Snow,0
Wetland Wildlife Habitat Management ,Drifted Snow,0
Shallow Water Development and Management ,Drifted Snow,0
Restoration of Rare and Declining Habitats,Drifted Snow,0
Fence ,Naturally Available Moisture Use,0
Streambank and Shoreline Protection ,Naturally Available Moisture Use,0
Heavy Use Area Protection ,Naturally Available Moisture Use,0
Livestock Pipeline ,Naturally Available Moisture Use,0
Prescribed Grazing (IRA),Naturally Available Moisture Use,2
Cover Crop (IRA),Naturally Available Moisture Use,2
Tree/Shrub Establishment (IRA),Naturally Available Moisture Use,1
Brush Management ,Naturally Available Moisture Use,2
Dike and Levee ,Naturally Available Moisture Use,0
Herbaceous Weed Treatment ,Naturally Available Moisture Use,0
Residue and Tillage Mgmt (No Till) (IRA),Naturally Available Moisture Use,2
Residue and Tillage Mgmt (Reduced Till) (IRA),Naturally Available Moisture Use,2
Conservation Crop Rotation (IRA),Naturally Available Moisture Use,3
Wildlife Habitat Planting (IRA),Naturally Available Moisture Use,0
Pasture and Hay Planting ,Naturally Available Moisture Use,0
Critical Area Planting (IRA),Naturally Available Moisture Use,0
Range planting (IRA),Naturally Available Moisture Use,2
Channel Bed Stabilization ,Naturally Available Moisture Use,0
Conservation Cover (IRA),Naturally Available Moisture Use,0
Access Control ,Naturally Available Moisture Use,3
Wetland Restoration (IRA),Naturally Available Moisture Use,0
Watering Facility ,Naturally Available Moisture Use,0
Riparian Forest Buffer (IRA),Naturally Available Moisture Use,0
Nutrient Management (IRA),Naturally Available Moisture Use,0
Pest Management Conservation System ,Naturally Available Moisture Use,0
Structures for Wildlife ,Naturally Available Moisture Use,0
Stream Crossing ,Naturally Available Moisture Use,0
Structure for Water Control ,Naturally Available Moisture Use,2
Stream Habitat Improvement and Management ,Naturally Available Moisture Use,0
Grade Stabilization Structure ,Naturally Available Moisture Use,0
Riparian Herbaceous Cover (IRA),Naturally Available Moisture Use,0
Aquatic Organism Passage ,Naturally Available Moisture Use,0
Wetland Creation ,Naturally Available Moisture Use,0
Wetland Enhancement ,Naturally Available Moisture Use,0
Wetland Wildlife Habitat Management ,Naturally Available Moisture Use,0
Shallow Water Development and Management ,Naturally Available Moisture Use,0
Restoration of Rare and Declining Habitats,Naturally Available Moisture Use,0
Fence ,Surface Water Depletion,0
Streambank and Shoreline Protection ,Surface Water Depletion,0
Heavy Use Area Protection ,Surface Water Depletion,1
Livestock Pipeline ,Surface Water Depletion,0
Prescribed Grazing (IRA),Surface Water Depletion,1
Cover Crop (IRA),Surface Water Depletion,0
Tree/Shrub Establishment (IRA),Surface Water Depletion,3
Brush Management ,Surface Water Depletion,1
Dike and Levee ,Surface Water Depletion,1
Herbaceous Weed Treatment ,Surface Water Depletion,2
Residue and Tillage Mgmt (No Till) (IRA),Surface Water Depletion,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Surface Water Depletion,0
Conservation Crop Rotation (IRA),Surface Water Depletion,0
Wildlife Habitat Planting (IRA),Surface Water Depletion,0
Pasture and Hay Planting ,Surface Water Depletion,3
Critical Area Planting (IRA),Surface Water Depletion,0
Range planting (IRA),Surface Water Depletion,0
Channel Bed Stabilization ,Surface Water Depletion,0
Conservation Cover (IRA),Surface Water Depletion,0
Access Control ,Surface Water Depletion,0
Wetland Restoration (IRA),Surface Water Depletion,1
Watering Facility ,Surface Water Depletion,0
Riparian Forest Buffer (IRA),Surface Water Depletion,3
Nutrient Management (IRA),Surface Water Depletion,0
Pest Management Conservation System ,Surface Water Depletion,0
Structures for Wildlife ,Surface Water Depletion,0
Stream Crossing ,Surface Water Depletion,0
Structure for Water Control ,Surface Water Depletion,5
Stream Habitat Improvement and Management ,Surface Water Depletion,0
Grade Stabilization Structure ,Surface Water Depletion,0
Riparian Herbaceous Cover (IRA),Surface Water Depletion,0
Aquatic Organism Passage ,Surface Water Depletion,0
Wetland Creation ,Surface Water Depletion,2
Wetland Enhancement ,Surface Water Depletion,1
Wetland Wildlife Habitat Management ,Surface Water Depletion,0
Shallow Water Development and Management ,Surface Water Depletion,1
Restoration of Rare and Declining Habitats,Surface Water Depletion,0
Fence ,Groundwater Depletion,0
Streambank and Shoreline Protection ,Groundwater Depletion,0
Heavy Use Area Protection ,Groundwater Depletion,-1
Livestock Pipeline ,Groundwater Depletion,0
Prescribed Grazing (IRA),Groundwater Depletion,1
Cover Crop (IRA),Groundwater Depletion,0
Tree/Shrub Establishment (IRA),Groundwater Depletion,0
Brush Management ,Groundwater Depletion,0
Dike and Levee ,Groundwater Depletion,1
Herbaceous Weed Treatment ,Groundwater Depletion,1
Residue and Tillage Mgmt (No Till) (IRA),Groundwater Depletion,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Groundwater Depletion,0
Conservation Crop Rotation (IRA),Groundwater Depletion,0
Wildlife Habitat Planting (IRA),Groundwater Depletion,0
Pasture and Hay Planting ,Groundwater Depletion,3
Critical Area Planting (IRA),Groundwater Depletion,0
Range planting (IRA),Groundwater Depletion,0
Channel Bed Stabilization ,Groundwater Depletion,0
Conservation Cover (IRA),Groundwater Depletion,0
Access Control ,Groundwater Depletion,0
Wetland Restoration (IRA),Groundwater Depletion,0
Watering Facility ,Groundwater Depletion,0
Riparian Forest Buffer (IRA),Groundwater Depletion,0
Nutrient Management (IRA),Groundwater Depletion,0
Pest Management Conservation System ,Groundwater Depletion,0
Structures for Wildlife ,Groundwater Depletion,0
Stream Crossing ,Groundwater Depletion,0
Structure for Water Control ,Groundwater Depletion,5
Stream Habitat Improvement and Management ,Groundwater Depletion,0
Grade Stabilization Structure ,Groundwater Depletion,0
Riparian Herbaceous Cover (IRA),Groundwater Depletion,0
Aquatic Organism Passage ,Groundwater Depletion,0
Wetland Creation ,Groundwater Depletion,0
Wetland Enhancement ,Groundwater Depletion,0
Wetland Wildlife Habitat Management ,Groundwater Depletion,0
Shallow Water Development and Management ,Groundwater Depletion,0
Restoration of Rare and Declining Habitats,Groundwater Depletion,0
Fence ,Inefficient Irrigation Water Use,0
Streambank and Shoreline Protection ,Inefficient Irrigation Water Use,0
Heavy Use Area Protection ,Inefficient Irrigation Water Use,0
Livestock Pipeline ,Inefficient Irrigation Water Use,0
Prescribed Grazing (IRA),Inefficient Irrigation Water Use,0
Cover Crop (IRA),Inefficient Irrigation Water Use,1
Tree/Shrub Establishment (IRA),Inefficient Irrigation Water Use,0
Brush Management ,Inefficient Irrigation Water Use,0
Dike and Levee ,Inefficient Irrigation Water Use,0
Herbaceous Weed Treatment ,Inefficient Irrigation Water Use,2
Residue and Tillage Mgmt (No Till) (IRA),Inefficient Irrigation Water Use,2
Residue and Tillage Mgmt (Reduced Till) (IRA),Inefficient Irrigation Water Use,1
Conservation Crop Rotation (IRA),Inefficient Irrigation Water Use,2
Wildlife Habitat Planting (IRA),Inefficient Irrigation Water Use,0
Pasture and Hay Planting ,Inefficient Irrigation Water Use,0
Critical Area Planting (IRA),Inefficient Irrigation Water Use,0
Range planting (IRA),Inefficient Irrigation Water Use,0
Channel Bed Stabilization ,Inefficient Irrigation Water Use,0
Conservation Cover (IRA),Inefficient Irrigation Water Use,0
Access Control ,Inefficient Irrigation Water Use,0
Wetland Restoration (IRA),Inefficient Irrigation Water Use,0
Watering Facility ,Inefficient Irrigation Water Use,0
Riparian Forest Buffer (IRA),Inefficient Irrigation Water Use,0
Nutrient Management (IRA),Inefficient Irrigation Water Use,0
Pest Management Conservation System ,Inefficient Irrigation Water Use,0
Structures for Wildlife ,Inefficient Irrigation Water Use,0
Stream Crossing ,Inefficient Irrigation Water Use,0
Structure for Water Control ,Inefficient Irrigation Water Use,2
Stream Habitat Improvement and Management ,Inefficient Irrigation Water Use,0
Grade Stabilization Structure ,Inefficient Irrigation Water Use,0
Riparian Herbaceous Cover (IRA),Inefficient Irrigation Water Use,0
Aquatic Organism Passage ,Inefficient Irrigation Water Use,0
Wetland Creation ,Inefficient Irrigation Water Use,0
Wetland Enhancement ,Inefficient Irrigation Water Use,0
Wetland Wildlife Habitat Management ,Inefficient Irrigation Water Use,0
Shallow Water Development and Management ,Inefficient Irrigation Water Use,0
Restoration of Rare and Declining Habitats,Inefficient Irrigation Water Use,0
Fence ,Nutrients Transported to Surface Water,0
Streambank and Shoreline Protection ,Nutrients Transported to Surface Water,1
Heavy Use Area Protection ,Nutrients Transported to Surface Water,1
Livestock Pipeline ,Nutrients Transported to Surface Water,0
Prescribed Grazing (IRA),Nutrients Transported to Surface Water,1
Cover Crop (IRA),Nutrients Transported to Surface Water,2
Tree/Shrub Establishment (IRA),Nutrients Transported to Surface Water,1
Brush Management ,Nutrients Transported to Surface Water,0
Dike and Levee ,Nutrients Transported to Surface Water,0
Herbaceous Weed Treatment ,Nutrients Transported to Surface Water,1
Residue and Tillage Mgmt (No Till) (IRA),Nutrients Transported to Surface Water,2
Residue and Tillage Mgmt (Reduced Till) (IRA),Nutrients Transported to Surface Water,2
Conservation Crop Rotation (IRA),Nutrients Transported to Surface Water,3
Wildlife Habitat Planting (IRA),Nutrients Transported to Surface Water,1
Pasture and Hay Planting ,Nutrients Transported to Surface Water,1
Critical Area Planting (IRA),Nutrients Transported to Surface Water,2
Range planting (IRA),Nutrients Transported to Surface Water,1
Channel Bed Stabilization ,Nutrients Transported to Surface Water,0
Conservation Cover (IRA),Nutrients Transported to Surface Water,4
Access Control ,Nutrients Transported to Surface Water,1
Wetland Restoration (IRA),Nutrients Transported to Surface Water,3
Watering Facility ,Nutrients Transported to Surface Water,4
Riparian Forest Buffer (IRA),Nutrients Transported to Surface Water,5
Nutrient Management (IRA),Nutrients Transported to Surface Water,5
Pest Management Conservation System ,Nutrients Transported to Surface Water,0
Structures for Wildlife ,Nutrients Transported to Surface Water,0
Stream Crossing ,Nutrients Transported to Surface Water,1
Structure for Water Control ,Nutrients Transported to Surface Water,0
Stream Habitat Improvement and Management ,Nutrients Transported to Surface Water,2
Grade Stabilization Structure ,Nutrients Transported to Surface Water,0
Riparian Herbaceous Cover (IRA),Nutrients Transported to Surface Water,5
Aquatic Organism Passage ,Nutrients Transported to Surface Water,0
Wetland Creation ,Nutrients Transported to Surface Water,3
Wetland Enhancement ,Nutrients Transported to Surface Water,3
Wetland Wildlife Habitat Management ,Nutrients Transported to Surface Water,0
Shallow Water Development and Management ,Nutrients Transported to Surface Water,1
Restoration of Rare and Declining Habitats,Nutrients Transported to Surface Water,0
Fence ,Nutrients Transported to Groundwater,0
Streambank and Shoreline Protection ,Nutrients Transported to Groundwater,0
Heavy Use Area Protection ,Nutrients Transported to Groundwater,0
Livestock Pipeline ,Nutrients Transported to Groundwater,0
Prescribed Grazing (IRA),Nutrients Transported to Groundwater,1
Cover Crop (IRA),Nutrients Transported to Groundwater,1
Tree/Shrub Establishment (IRA),Nutrients Transported to Groundwater,1
Brush Management ,Nutrients Transported to Groundwater,0
Dike and Levee ,Nutrients Transported to Groundwater,-1
Herbaceous Weed Treatment ,Nutrients Transported to Groundwater,0
Residue and Tillage Mgmt (No Till) (IRA),Nutrients Transported to Groundwater,-1
Residue and Tillage Mgmt (Reduced Till) (IRA),Nutrients Transported to Groundwater,0
Conservation Crop Rotation (IRA),Nutrients Transported to Groundwater,3
Wildlife Habitat Planting (IRA),Nutrients Transported to Groundwater,0
Pasture and Hay Planting ,Nutrients Transported to Groundwater,0
Critical Area Planting (IRA),Nutrients Transported to Groundwater,1
Range planting (IRA),Nutrients Transported to Groundwater,1
Channel Bed Stabilization ,Nutrients Transported to Groundwater,0
Conservation Cover (IRA),Nutrients Transported to Groundwater,4
Access Control ,Nutrients Transported to Groundwater,1
Wetland Restoration (IRA),Nutrients Transported to Groundwater,1
Watering Facility ,Nutrients Transported to Groundwater,0
Riparian Forest Buffer (IRA),Nutrients Transported to Groundwater,5
Nutrient Management (IRA),Nutrients Transported to Groundwater,5
Pest Management Conservation System ,Nutrients Transported to Groundwater,0
Structures for Wildlife ,Nutrients Transported to Groundwater,0
Stream Crossing ,Nutrients Transported to Groundwater,0
Structure for Water Control ,Nutrients Transported to Groundwater,0
Stream Habitat Improvement and Management ,Nutrients Transported to Groundwater,0
Grade Stabilization Structure ,Nutrients Transported to Groundwater,0
Riparian Herbaceous Cover (IRA),Nutrients Transported to Groundwater,5
Aquatic Organism Passage ,Nutrients Transported to Groundwater,0
Wetland Creation ,Nutrients Transported to Groundwater,1
Wetland Enhancement ,Nutrients Transported to Groundwater,1
Wetland Wildlife Habitat Management ,Nutrients Transported to Groundwater,0
Shallow Water Development and Management ,Nutrients Transported to Groundwater,1
Restoration of Rare and Declining Habitats,Nutrients Transported to Groundwater,0
Fence ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",2
Streambank and Shoreline Protection ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Heavy Use Area Protection ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",2
Livestock Pipeline ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Prescribed Grazing (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Cover Crop (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Tree/Shrub Establishment (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Brush Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Dike and Levee ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Herbaceous Weed Treatment ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Residue and Tillage Mgmt (No Till) (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Residue and Tillage Mgmt (Reduced Till) (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Conservation Crop Rotation (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Wildlife Habitat Planting (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Pasture and Hay Planting ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Critical Area Planting (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Range planting (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Channel Bed Stabilization ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Conservation Cover (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",2
Access Control ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Wetland Restoration (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Watering Facility ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",2
Riparian Forest Buffer (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",3
Nutrient Management (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",4
Pest Management Conservation System ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Structures for Wildlife ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Stream Crossing ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",-3
Structure for Water Control ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Stream Habitat Improvement and Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Grade Stabilization Structure ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Riparian Herbaceous Cover (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",3
Aquatic Organism Passage ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Wetland Creation ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Wetland Enhancement ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Wetland Wildlife Habitat Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",1
Shallow Water Development and Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",2
Restoration of Rare and Declining Habitats,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Surface Water",0
Fence ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Streambank and Shoreline Protection ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Heavy Use Area Protection ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Livestock Pipeline ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Prescribed Grazing (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Cover Crop (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Tree/Shrub Establishment (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Brush Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Dike and Levee ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Herbaceous Weed Treatment ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Residue and Tillage Mgmt (No Till) (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Residue and Tillage Mgmt (Reduced Till) (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Conservation Crop Rotation (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Wildlife Habitat Planting (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Pasture and Hay Planting ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Critical Area Planting (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Range planting (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Channel Bed Stabilization ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Conservation Cover (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",2
Access Control ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Wetland Restoration (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Watering Facility ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Riparian Forest Buffer (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",1
Nutrient Management (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",4
Pest Management Conservation System ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Structures for Wildlife ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Stream Crossing ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",2
Structure for Water Control ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Stream Habitat Improvement and Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Grade Stabilization Structure ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Riparian Herbaceous Cover (IRA),"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",2
Aquatic Organism Passage ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Wetland Creation ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Wetland Enhancement ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Wetland Wildlife Habitat Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Shallow Water Development and Management ,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",-1
Restoration of Rare and Declining Habitats,"Pathogens and Chemicals from Manure, Bio-solids or Compost Applications Transported to Groundwater",0
Fence ,Sediment Transported to Surface Water,0
Streambank and Shoreline Protection ,Sediment Transported to Surface Water,2
Heavy Use Area Protection ,Sediment Transported to Surface Water,2
Livestock Pipeline ,Sediment Transported to Surface Water,0
Prescribed Grazing (IRA),Sediment Transported to Surface Water,2
Cover Crop (IRA),Sediment Transported to Surface Water,2
Tree/Shrub Establishment (IRA),Sediment Transported to Surface Water,3
Brush Management ,Sediment Transported to Surface Water,2
Dike and Levee ,Sediment Transported to Surface Water,0
Herbaceous Weed Treatment ,Sediment Transported to Surface Water,1
Residue and Tillage Mgmt (No Till) (IRA),Sediment Transported to Surface Water,4
Residue and Tillage Mgmt (Reduced Till) (IRA),Sediment Transported to Surface Water,3
Conservation Crop Rotation (IRA),Sediment Transported to Surface Water,3
Wildlife Habitat Planting (IRA),Sediment Transported to Surface Water,1
Pasture and Hay Planting ,Sediment Transported to Surface Water,1
Critical Area Planting (IRA),Sediment Transported to Surface Water,4
Range planting (IRA),Sediment Transported to Surface Water,2
Channel Bed Stabilization ,Sediment Transported to Surface Water,1
Conservation Cover (IRA),Sediment Transported to Surface Water,4
Access Control ,Sediment Transported to Surface Water,3
Wetland Restoration (IRA),Sediment Transported to Surface Water,2
Watering Facility ,Sediment Transported to Surface Water,2
Riparian Forest Buffer (IRA),Sediment Transported to Surface Water,5
Nutrient Management (IRA),Sediment Transported to Surface Water,0
Pest Management Conservation System ,Sediment Transported to Surface Water,2
Structures for Wildlife ,Sediment Transported to Surface Water,0
Stream Crossing ,Sediment Transported to Surface Water,2
Structure for Water Control ,Sediment Transported to Surface Water,1
Stream Habitat Improvement and Management ,Sediment Transported to Surface Water,2
Grade Stabilization Structure ,Sediment Transported to Surface Water,2
Riparian Herbaceous Cover (IRA),Sediment Transported to Surface Water,4
Aquatic Organism Passage ,Sediment Transported to Surface Water,0
Wetland Creation ,Sediment Transported to Surface Water,2
Wetland Enhancement ,Sediment Transported to Surface Water,2
Wetland Wildlife Habitat Management ,Sediment Transported to Surface Water,3
Shallow Water Development and Management ,Sediment Transported to Surface Water,2
Restoration of Rare and Declining Habitats,Sediment Transported to Surface Water,2
Fence ,Pesticides Transported to Surface Water,0
Streambank and Shoreline Protection ,Pesticides Transported to Surface Water,0
Heavy Use Area Protection ,Pesticides Transported to Surface Water,0
Livestock Pipeline ,Pesticides Transported to Surface Water,0
Prescribed Grazing (IRA),Pesticides Transported to Surface Water,2
Cover Crop (IRA),Pesticides Transported to Surface Water,2
Tree/Shrub Establishment (IRA),Pesticides Transported to Surface Water,1
Brush Management ,Pesticides Transported to Surface Water,-1
Dike and Levee ,Pesticides Transported to Surface Water,2
Herbaceous Weed Treatment ,Pesticides Transported to Surface Water,-1
Residue and Tillage Mgmt (No Till) (IRA),Pesticides Transported to Surface Water,4
Residue and Tillage Mgmt (Reduced Till) (IRA),Pesticides Transported to Surface Water,3
Conservation Crop Rotation (IRA),Pesticides Transported to Surface Water,2
Wildlife Habitat Planting (IRA),Pesticides Transported to Surface Water,1
Pasture and Hay Planting ,Pesticides Transported to Surface Water,1
Critical Area Planting (IRA),Pesticides Transported to Surface Water,1
Range planting (IRA),Pesticides Transported to Surface Water,2
Channel Bed Stabilization ,Pesticides Transported to Surface Water,0
Conservation Cover (IRA),Pesticides Transported to Surface Water,2
Access Control ,Pesticides Transported to Surface Water,1
Wetland Restoration (IRA),Pesticides Transported to Surface Water,1
Watering Facility ,Pesticides Transported to Surface Water,0
Riparian Forest Buffer (IRA),Pesticides Transported to Surface Water,3
Nutrient Management (IRA),Pesticides Transported to Surface Water,0
Pest Management Conservation System ,Pesticides Transported to Surface Water,5
Structures for Wildlife ,Pesticides Transported to Surface Water,0
Stream Crossing ,Pesticides Transported to Surface Water,0
Structure for Water Control ,Pesticides Transported to Surface Water,0
Stream Habitat Improvement and Management ,Pesticides Transported to Surface Water,0
Grade Stabilization Structure ,Pesticides Transported to Surface Water,0
Riparian Herbaceous Cover (IRA),Pesticides Transported to Surface Water,2
Aquatic Organism Passage ,Pesticides Transported to Surface Water,0
Wetland Creation ,Pesticides Transported to Surface Water,1
Wetland Enhancement ,Pesticides Transported to Surface Water,1
Wetland Wildlife Habitat Management ,Pesticides Transported to Surface Water,0
Shallow Water Development and Management ,Pesticides Transported to Surface Water,0
Restoration of Rare and Declining Habitats,Pesticides Transported to Surface Water,0
Fence ,Pesticides Transported to Groundwater,0
Streambank and Shoreline Protection ,Pesticides Transported to Groundwater,0
Heavy Use Area Protection ,Pesticides Transported to Groundwater,0
Livestock Pipeline ,Pesticides Transported to Groundwater,0
Prescribed Grazing (IRA),Pesticides Transported to Groundwater,1
Cover Crop (IRA),Pesticides Transported to Groundwater,1
Tree/Shrub Establishment (IRA),Pesticides Transported to Groundwater,1
Brush Management ,Pesticides Transported to Groundwater,0
Dike and Levee ,Pesticides Transported to Groundwater,1
Herbaceous Weed Treatment ,Pesticides Transported to Groundwater,0
Residue and Tillage Mgmt (No Till) (IRA),Pesticides Transported to Groundwater,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Pesticides Transported to Groundwater,0
Conservation Crop Rotation (IRA),Pesticides Transported to Groundwater,2
Wildlife Habitat Planting (IRA),Pesticides Transported to Groundwater,1
Pasture and Hay Planting ,Pesticides Transported to Groundwater,0
Critical Area Planting (IRA),Pesticides Transported to Groundwater,0
Range planting (IRA),Pesticides Transported to Groundwater,2
Channel Bed Stabilization ,Pesticides Transported to Groundwater,0
